,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
236,?,14.5,212,4750,Gentoo
237,?,?,224,?,Gentoo
238,?,14.7,214,4850,Gentoo
239,50.8,15.7,?,5200,Gentoo
240,49.4,15.8,216,4925,Gentoo
241,46.9,?,222,4875,Gentoo
242,48.4,14.4,203,?,Gentoo
243,?,16.5,225,5250,Gentoo
244,?,?,219,?,Gentoo
245,?,17,228,?,Gentoo
246,47.2,?,215,?,Gentoo
247,49.1,15,228,5500,Gentoo
248,?,16.1,215,?,Gentoo
249,41.7,?,210,?,Gentoo
250,53.4,15.8,219,5500,Gentoo
251,43.3,?,208,4575,Gentoo
252,?,15.1,209,5500,Gentoo
253,?,?,216,5000,Gentoo
254,?,15.9,229,?,Gentoo
255,43.5,?,213,4650,Gentoo
256,51.5,16.3,230,5500,Gentoo
257,?,14.1,217,4375,Gentoo
258,?,?,?,5850,Gentoo
259,48.8,16.2,222,6000,Gentoo
260,47.2,?,214,?,Gentoo
261,46.8,14.3,?,?,Gentoo
262,?,15.7,222,5750,Gentoo
263,45.2,?,212,5200,Gentoo
264,49.9,16.1,213,5400,Gentoo
265,?,?,192,3500,Chinstrap
266,50,19.5,?,?,Chinstrap
267,51.3,19.2,193,3650,Chinstrap
268,45.4,18.7,188,?,Chinstrap
269,52.7,19.8,?,3725,Chinstrap
270,45.2,17.8,198,3950,Chinstrap
271,?,18.2,?,3250,Chinstrap
272,?,18.2,?,?,Chinstrap
273,?,18.9,?,4150,Chinstrap
274,51.3,?,198,3700,Chinstrap
275,46.6,17.8,193,?,Chinstrap
276,51.7,?,194,3775,Chinstrap
277,?,?,185,3700,Chinstrap
278,52,18.1,201,?,Chinstrap
279,?,?,190,3575,Chinstrap
280,50.5,19.6,201,?,Chinstrap
281,50.3,20,?,3300,Chinstrap
282,58,17.8,?,3700,Chinstrap
283,46.4,?,190,3450,Chinstrap
284,49.2,18.2,195,4400,Chinstrap
285,42.4,17.3,?,3600,Chinstrap
286,?,17.5,191,?,Chinstrap
287,43.2,?,?,2900,Chinstrap
288,?,19.4,?,?,Chinstrap
289,?,17.9,195,3300,Chinstrap
290,?,19,197,4150,Chinstrap
291,?,?,?,?,Chinstrap
292,?,19,200,?,Chinstrap
293,?,17.8,?,?,Chinstrap
294,?,20,205,?,Chinstrap
295,40.9,16.6,187,3200,Chinstrap
296,?,20.8,?,4300,Chinstrap
297,42.5,16.7,187,3350,Chinstrap
298,?,18.8,203,4100,Chinstrap
299,?,18.6,195,?,Chinstrap
300,?,?,199,?,Chinstrap
301,47.6,18.3,?,3850,Chinstrap
302,?,20.7,210,?,Chinstrap
303,46.9,?,192,2700,Chinstrap
304,53.5,?,205,?,Chinstrap
305,?,19.5,?,?,Chinstrap
306,?,17.5,187,3650,Chinstrap
307,50.9,19.1,?,3550,Chinstrap
308,45.5,?,196,3500,Chinstrap
309,50.9,17.9,196,?,Chinstrap
310,50.8,?,201,?,Chinstrap
311,50.1,17.9,190,3400,Chinstrap
312,49,?,?,4300,Chinstrap
313,51.5,?,?,3250,Chinstrap
314,49.8,?,?,3675,Chinstrap
315,48.1,?,199,?,Chinstrap
316,51.4,?,201,?,Chinstrap
317,?,17.3,193,3600,Chinstrap
318,?,?,203,4050,Chinstrap
319,42.5,?,187,3350,Chinstrap
320,52.2,?,197,3450,Chinstrap
321,45.2,?,191,3250,Chinstrap
322,49.3,?,203,4050,Chinstrap
323,50.2,18.8,202,?,Chinstrap
324,45.6,19.4,194,3525,Chinstrap
325,51.9,19.5,206,3950,Chinstrap
326,?,?,189,3650,Chinstrap
327,45.7,17,?,3650,Chinstrap
328,55.8,19.8,207,4000,Chinstrap
329,?,18.1,?,3400,Chinstrap
330,49.6,18.2,193,?,Chinstrap
331,?,19,?,?,Chinstrap
332,50.2,?,?,?,Chinstrap
