,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
81,36.9,18.6,189,?,Adelie
82,38.3,19.2,189,?,Adelie
83,38.9,18.8,190,3600,Adelie
84,35.7,18,202,?,Adelie
85,41.1,18.1,205,4300,Adelie
86,34,17.1,185,?,Adelie
87,39.6,18.1,186,4450,Adelie
88,36.2,17.3,187,3300,Adelie
89,40.8,18.9,208,4300,Adelie
90,38.1,18.6,190,3700,Adelie
91,40.3,18.5,196,4350,Adelie
92,33.1,16.1,178,2900,Adelie
93,43.2,18.5,192,4100,Adelie
94,35,17.9,192,?,Adelie
95,41,20,203,4725,Adelie
96,37.7,16,183,3075,Adelie
97,37.8,20,190,4250,Adelie
98,37.9,18.6,193,2925,Adelie
99,39.7,18.9,184,3550,Adelie
100,38.6,17.2,199,3750,Adelie
101,38.2,20,190,3900,Adelie
102,38.1,17,181,?,Adelie
103,43.2,19,197,4775,Adelie
104,38.1,16.5,198,3825,Adelie
105,45.6,20.3,191,4600,Adelie
106,39.7,17.7,193,?,Adelie
107,42.2,19.5,197,4275,Adelie
108,39.6,20.7,191,?,Adelie
109,42.7,18.3,196,?,Adelie
110,38.6,17,188,2900,Adelie
111,37.3,20.5,199,3775,Adelie
112,35.7,17,189,3350,Adelie
113,41.1,18.6,189,3325,Adelie
114,36.2,17.2,187,?,Adelie
115,37.7,19.8,198,3500,Adelie
116,40.2,17,176,3450,Adelie
117,41.4,18.5,202,3875,Adelie
118,35.2,15.9,186,3050,Adelie
119,40.6,19,199,4000,Adelie
120,38.8,17.6,191,3275,Adelie
121,41.5,18.3,195,4300,Adelie
122,39,17.1,191,?,Adelie
123,44.1,18,210,4000,Adelie
124,38.5,17.9,190,3325,Adelie
125,43.1,19.2,197,3500,Adelie
126,36.8,18.5,193,3500,Adelie
127,37.5,18.5,199,4475,Adelie
128,38.1,17.6,187,?,Adelie
129,41.1,17.5,190,3900,Adelie
130,35.6,17.5,191,3175,Adelie
131,40.2,20.1,200,3975,Adelie
132,37,16.5,185,?,Adelie
133,39.7,17.9,193,4250,Adelie
134,40.2,17.1,193,3400,Adelie
135,40.6,17.2,187,3475,Adelie
136,32.1,15.5,188,?,Adelie
137,40.7,17,190,3725,Adelie
138,37.3,16.8,192,?,Adelie
139,39,18.7,185,3650,Adelie
140,39.2,18.6,190,4250,Adelie
141,36.6,18.4,184,?,Adelie
142,36,17.8,195,3450,Adelie
143,37.8,18.1,193,3750,Adelie
144,36,17.1,187,3700,Adelie
145,41.5,18.5,201,4000,Adelie
146,46.1,13.2,211,4500,Gentoo
147,50,16.3,230,5700,Gentoo
148,48.7,14.1,210,4450,Gentoo
149,50,15.2,218,5700,Gentoo
150,47.6,14.5,215,5400,Gentoo
151,46.5,13.5,210,4550,Gentoo
152,45.4,14.6,211,4800,Gentoo
153,46.7,15.3,219,5200,Gentoo
154,43.3,13.4,209,?,Gentoo
155,46.8,15.4,215,?,Gentoo
156,40.9,13.7,214,4650,Gentoo
157,49,16.1,216,5550,Gentoo
158,45.5,13.7,214,4650,Gentoo
159,48.4,14.6,213,5850,Gentoo
160,45.8,14.6,210,4200,Gentoo
161,49.3,15.7,217,5850,Gentoo
162,42,13.5,210,4150,Gentoo
163,49.2,15.2,221,?,Gentoo
164,46.2,14.5,209,4800,Gentoo
165,48.7,15.1,222,5350,Gentoo
166,50.2,14.3,218,5700,Gentoo
167,45.1,14.5,215,?,Gentoo
168,46.5,14.5,213,?,Gentoo
169,46.3,15.8,215,?,Gentoo
170,42.9,13.1,215,5000,Gentoo
171,46.1,15.1,215,5100,Gentoo
172,47.8,15,215,5650,Gentoo
173,48.2,14.3,210,?,Gentoo
174,50,15.3,220,5550,Gentoo
175,47.3,15.3,222,5250,Gentoo
176,42.8,14.2,209,?,Gentoo
177,45.1,14.5,207,5050,Gentoo
178,59.6,17,230,6050,Gentoo
179,49.1,14.8,220,5150,Gentoo
180,48.4,16.3,220,?,Gentoo
181,42.6,13.7,213,4950,Gentoo
182,44.4,17.3,219,5250,Gentoo
183,44,13.6,208,4350,Gentoo
184,48.7,15.7,208,5350,Gentoo
185,42.7,13.7,208,3950,Gentoo
186,49.6,16,225,?,Gentoo
187,45.3,13.7,210,?,Gentoo
188,49.6,15,216,4750,Gentoo
189,50.5,15.9,222,5550,Gentoo
190,43.6,13.9,217,4900,Gentoo
191,45.5,13.9,210,4200,Gentoo
192,50.5,15.9,225,5400,Gentoo
193,44.9,13.3,213,?,Gentoo
194,45.2,15.8,215,5300,Gentoo
195,46.6,14.2,210,4850,Gentoo
196,48.5,14.1,220,?,Gentoo
197,45.1,14.4,210,4400,Gentoo
198,50.1,15,225,5000,Gentoo
199,46.5,14.4,217,4900,Gentoo
200,45,15.4,220,5050,Gentoo
201,43.8,13.9,208,4300,Gentoo
202,45.5,15,220,5000,Gentoo
203,43.2,14.5,208,?,Gentoo
204,50.4,15.3,224,5550,Gentoo
205,45.3,13.8,208,4200,Gentoo
206,46.2,14.9,221,?,Gentoo
207,45.7,13.9,214,4400,Gentoo
208,54.3,15.7,231,5650,Gentoo
209,45.8,14.2,219,4700,Gentoo
210,49.8,16.8,230,5700,Gentoo
211,49.5,16.2,229,5800,Gentoo
212,43.5,14.2,220,4700,Gentoo
213,50.7,15,223,5550,Gentoo
214,47.7,15,216,4750,Gentoo
215,46.4,15.6,221,?,Gentoo
216,48.2,15.6,221,5100,Gentoo
217,46.5,14.8,217,5200,Gentoo
218,46.4,15,216,4700,Gentoo
219,48.6,16,230,?,Gentoo
220,47.5,14.2,209,4600,Gentoo
221,51.1,16.3,220,6000,Gentoo
222,45.2,13.8,215,4750,Gentoo
223,45.2,16.4,223,?,Gentoo
224,49.1,14.5,212,?,Gentoo
225,52.5,15.6,221,5450,Gentoo
226,47.4,14.6,212,4725,Gentoo
227,50,15.9,224,5350,Gentoo
228,44.9,13.8,212,4750,Gentoo
229,50.8,17.3,228,?,Gentoo
230,43.4,14.4,218,?,Gentoo
231,51.3,14.2,218,5300,Gentoo
232,47.5,14,212,4875,Gentoo
233,52.1,17,230,?,Gentoo
234,47.5,15,218,4950,Gentoo
235,52.2,17.1,228,5400,Gentoo
236,45.5,14.5,212,?,Gentoo
237,49.5,16.1,224,?,Gentoo
238,44.5,14.7,214,4850,Gentoo
239,50.8,15.7,226,5200,Gentoo
240,49.4,15.8,216,4925,Gentoo
241,46.9,14.6,222,4875,Gentoo
242,48.4,14.4,203,?,Gentoo
243,51.1,16.5,225,5250,Gentoo
244,48.5,15,219,4850,Gentoo
245,55.9,17,228,?,Gentoo
246,47.2,15.5,215,?,Gentoo
247,49.1,15,228,?,Gentoo
248,46.8,16.1,215,5500,Gentoo
249,41.7,14.7,210,4700,Gentoo
250,53.4,15.8,219,?,Gentoo
251,43.3,14,208,4575,Gentoo
252,48.1,15.1,209,5500,Gentoo
253,50.5,15.2,216,5000,Gentoo
254,49.8,15.9,229,5950,Gentoo
255,43.5,15.2,213,?,Gentoo
256,51.5,16.3,230,5500,Gentoo
257,46.2,14.1,217,4375,Gentoo
258,55.1,16,230,5850,Gentoo
259,48.8,16.2,222,6000,Gentoo
260,47.2,13.7,214,?,Gentoo
261,46.8,14.3,215,?,Gentoo
262,50.4,15.7,222,?,Gentoo
263,45.2,14.8,212,5200,Gentoo
264,49.9,16.1,213,5400,Gentoo
265,46.5,17.9,192,?,Chinstrap
266,50,19.5,196,3900,Chinstrap
267,51.3,19.2,193,3650,Chinstrap
268,45.4,18.7,188,3525,Chinstrap
269,52.7,19.8,197,3725,Chinstrap
270,45.2,17.8,198,3950,Chinstrap
271,46.1,18.2,178,3250,Chinstrap
272,51.3,18.2,197,?,Chinstrap
273,46,18.9,195,4150,Chinstrap
274,51.3,19.9,198,3700,Chinstrap
275,46.6,17.8,193,3800,Chinstrap
276,51.7,20.3,194,?,Chinstrap
277,47,17.3,185,3700,Chinstrap
278,52,18.1,201,4050,Chinstrap
279,45.9,17.1,190,3575,Chinstrap
280,50.5,19.6,201,4050,Chinstrap
281,50.3,20,197,3300,Chinstrap
282,58,17.8,181,3700,Chinstrap
283,46.4,18.6,190,3450,Chinstrap
284,49.2,18.2,195,4400,Chinstrap
285,42.4,17.3,181,3600,Chinstrap
286,48.5,17.5,191,3400,Chinstrap
287,43.2,16.6,187,?,Chinstrap
288,50.6,19.4,193,3800,Chinstrap
289,46.7,17.9,195,3300,Chinstrap
290,52,19,197,?,Chinstrap
291,50.5,18.4,200,3400,Chinstrap
292,49.5,19,200,3800,Chinstrap
293,46.4,17.8,191,3700,Chinstrap
294,52.8,20,205,4550,Chinstrap
295,40.9,16.6,187,?,Chinstrap
296,54.2,20.8,201,4300,Chinstrap
297,42.5,16.7,187,?,Chinstrap
298,51,18.8,203,4100,Chinstrap
299,49.7,18.6,195,3600,Chinstrap
300,47.5,16.8,199,3900,Chinstrap
301,47.6,18.3,195,3850,Chinstrap
302,52,20.7,210,4800,Chinstrap
303,46.9,16.6,192,2700,Chinstrap
304,53.5,19.9,205,4500,Chinstrap
305,49,19.5,210,3950,Chinstrap
306,46.2,17.5,187,3650,Chinstrap
307,50.9,19.1,196,?,Chinstrap
308,45.5,17,196,3500,Chinstrap
309,50.9,17.9,196,3675,Chinstrap
310,50.8,18.5,201,4450,Chinstrap
311,50.1,17.9,190,3400,Chinstrap
312,49,19.6,212,4300,Chinstrap
313,51.5,18.7,187,3250,Chinstrap
314,49.8,17.3,198,3675,Chinstrap
315,48.1,16.4,199,3325,Chinstrap
316,51.4,19,201,3950,Chinstrap
317,45.7,17.3,193,?,Chinstrap
318,50.7,19.7,203,?,Chinstrap
319,42.5,17.3,187,3350,Chinstrap
320,52.2,18.8,197,?,Chinstrap
321,45.2,16.6,191,3250,Chinstrap
322,49.3,19.9,203,?,Chinstrap
323,50.2,18.8,202,3800,Chinstrap
324,45.6,19.4,194,3525,Chinstrap
325,51.9,19.5,206,3950,Chinstrap
326,46.8,16.5,189,3650,Chinstrap
327,45.7,17,195,3650,Chinstrap
328,55.8,19.8,207,4000,Chinstrap
329,43.5,18.1,202,3400,Chinstrap
330,49.6,18.2,193,?,Chinstrap
331,50.8,19,210,4100,Chinstrap
332,50.2,18.7,198,3775,Chinstrap
